Word1,Word2,CosineDistance
talking,movie,0.7
talking,music,0.75
talking,world,0.79
talking,television,0.7
movie,talking,0.7
movie,music,0.31
movie,world,0.37
movie,television,0.36
music,talking,0.75
music,movie,0.31
music,world,0.32
music,television,0.22
world,talking,0.79
world,movie,0.37
world,music,0.32
world,television,0.43
television,talking,0.7
television,movie,0.36
television,music,0.22
television,world,0.43
